,Zip Code,Date,Hour,Average PM25
9,60608,1/1/15,22,60.70156416
19,60608,1/1/15,22,60.70156416
67,60610,4/3/17,18,44.91510753
71,60610,4/3/17,20,43.06333333
91,60610,4/3/17,19,44.93978431
105,60610,4/3/17,18,44.91510753
109,60610,4/3/17,20,43.06333333
129,60610,4/3/17,19,44.93978431
150,60610,4/4/17,10,44.33550916
151,60608,4/4/17,17,36.2627027
153,60608,4/4/17,18,41.19987684
155,60610,4/4/17,9,43.42407275
176,60610,4/4/17,10,44.33550916
177,60608,4/4/17,17,36.2627027
179,60608,4/4/17,18,41.19987684
181,60610,4/4/17,9,43.42407275
192,60610,4/5/17,18,45.5046
207,60610,4/5/17,18,45.5046
214,60608,4/6/17,18,41.98933333
219,60610,4/6/17,10,42.28343643
232,60608,4/6/17,18,41.98933333
237,60610,4/6/17,10,42.28343643
259,60608,4/7/17,9,38.58933333
275,60608,4/7/17,9,38.58933333
320,60637,4/24/17,18,36.78079692
322,60637,4/24/17,18,36.78079692
323,60637,4/25/17,9,42.68088889
324,60637,4/25/17,20,41.86735878
325,60637,4/25/17,10,43.05863952
326,60637,4/25/17,9,42.68088889
327,60637,4/25/17,20,41.86735878
328,60637,4/25/17,10,43.05863952
329,60637,4/26/17,10,54.42359626
330,60637,4/26/17,19,44.40608082
333,60637,4/26/17,17,52.84845483
335,60637,4/26/17,18,42.14295552
336,60637,4/26/17,10,54.42359626
337,60637,4/26/17,19,44.40608082
340,60637,4/26/17,17,52.84845483
342,60637,4/26/17,18,42.14295552
344,60608,4/27/17,20,70.26126909999999
345,60637,4/27/17,10,39.10273273
350,60637,4/27/17,20,64.01038552
351,60637,4/27/17,19,70.94377505
353,60608,4/27/17,20,70.26126909999999
354,60637,4/27/17,10,39.10273273
359,60637,4/27/17,20,64.01038552
360,60637,4/27/17,19,70.94377505
361,60637,4/28/17,21,66.37147301
363,60608,4/28/17,11,93.77707328
368,60608,4/28/17,21,81.693375
369,60637,4/28/17,20,76.40787385
373,60637,4/28/17,11,60.16500258
375,60608,4/28/17,22,72.13794312
377,60608,4/28/17,10,93.50551724
378,60637,4/28/17,21,66.37147301
380,60608,4/28/17,11,93.77707328
385,60608,4/28/17,21,81.693375
386,60637,4/28/17,20,76.40787385
390,60637,4/28/17,11,60.16500258
392,60608,4/28/17,22,72.13794312
395,60608,4/29/17,9,69.47652682
396,60637,4/29/17,10,65.76533652
401,60608,4/29/17,9,69.47652682
402,60637,4/29/17,10,65.76533652
406,60637,5/1/17,10,40.43586453
407,60637,5/1/17,10,40.43586453
408,60637,5/1/17,10,40.43586453
409,60637,5/1/17,10,40.43586453
410,60637,5/3/17,18,34.89384149
413,60637,5/3/17,18,34.89384149
416,60637,5/4/17,18,38.71751886
418,60637,5/4/17,10,39.4076534
420,60637,5/4/17,18,38.71751886
422,60637,5/4/17,10,39.4076534
429,60637,5/5/17,10,41.48242038
436,60637,5/5/17,11,39.40116208
439,60637,5/5/17,19,37.63943396
441,60637,5/5/17,20,38.15724607
442,60637,5/5/17,18,36.72569678
445,60608,5/5/17,20,37.94460266
453,60637,5/5/17,10,41.48242038
460,60637,5/5/17,11,39.40116208
463,60637,5/5/17,19,37.63943396
465,60637,5/5/17,20,38.15724607
466,60637,5/5/17,18,36.72569678
469,60608,5/5/17,20,37.94460266
481,60610,5/6/17,15,33.64399329
495,60610,5/6/17,15,33.64399329
506,60608,5/7/17,23,32.44235294
509,60608,5/7/17,14,33.49717925
512,60608,5/7/17,13,31.89215686
513,60637,5/7/17,14,35.87817204
514,60637,5/7/17,23,33.29148088
521,60608,5/7/17,23,32.44235294
524,60608,5/7/17,14,33.49717925
527,60608,5/7/17,13,31.89215686
528,60637,5/7/17,14,35.87817204
529,60637,5/7/17,23,33.29148088
532,60608,5/8/17,22,31.66691005
545,60637,5/8/17,14,34.55603083
546,60637,5/8/17,10,32.87720536
548,60608,5/8/17,13,31.24338375
549,60637,5/8/17,19,35.07272422
550,60637,5/8/17,9,33.26824561
553,60637,5/8/17,18,36.10579692
555,60637,5/8/17,21,34.56811079999999
560,60608,5/8/17,22,31.66691005
573,60637,5/8/17,14,34.55603083
574,60637,5/8/17,10,32.87720536
576,60608,5/8/17,13,31.24338375
577,60637,5/8/17,19,35.07272422
578,60637,5/8/17,9,33.26824561
581,60637,5/8/17,18,36.10579692
583,60637,5/8/17,21,34.56811079999999
585,60637,5/9/17,10,36.91611458
586,60637,5/9/17,10,36.91611458
587,60637,5/9/17,10,36.91611458
588,60637,5/9/17,18,39.48581586
589,60637,5/9/17,10,36.91611458
590,60637,5/9/17,18,39.48581586
595,60608,5/10/17,8,40.07955128
599,60608,5/10/17,10,39.45763456
600,60637,5/10/17,9,38.60336088
601,60637,5/10/17,8,38.30397368
602,60608,5/10/17,9,84.88758939
603,60637,5/10/17,10,38.62787698
610,60608,5/10/17,8,40.07955128
614,60608,5/10/17,10,39.45763456
615,60637,5/10/17,9,38.60336088
616,60637,5/10/17,8,38.30397368
617,60608,5/10/17,9,84.88758939
618,60637,5/10/17,10,38.62787698
625,60637,5/11/17,19,41.57533483
626,60608,5/11/17,20,41.13196581
629,60608,5/11/17,19,39.51066667
634,60637,5/11/17,19,41.57533483
635,60608,5/11/17,20,41.13196581
638,60608,5/11/17,19,39.51066667
639,60637,5/12/17,18,40.73296078
645,60637,5/12/17,10,40.66828739
646,60637,5/12/17,9,42.642474799999995
648,60637,5/12/17,14,39.34342105
650,60637,5/12/17,13,39.92148265
660,60637,5/12/17,18,40.73296078
666,60637,5/12/17,10,40.66828739
667,60637,5/12/17,9,42.642474799999995
669,60637,5/12/17,14,39.34342105
671,60637,5/12/17,13,39.92148265
688,60637,5/15/17,13,41.97557992
689,60637,5/15/17,18,44.31620972
690,60637,5/15/17,9,39.20951807
691,60637,5/15/17,19,44.05092275
692,60637,5/15/17,11,42.03356219
693,60637,5/15/17,12,42.31282719
694,60637,5/15/17,14,41.68542539999999
696,60637,5/15/17,10,41.87766667
698,60637,5/15/17,13,41.97557992
699,60637,5/15/17,18,44.31620972
700,60637,5/15/17,9,39.20951807
701,60637,5/15/17,19,44.05092275
702,60637,5/15/17,11,42.03356219
703,60637,5/15/17,12,42.31282719
704,60637,5/15/17,14,41.68542539999999
706,60637,5/15/17,10,41.87766667
707,60637,5/16/17,9,48.83314858
709,60637,5/16/17,11,47.58660294
710,60637,5/16/17,10,47.73425975
711,60637,5/16/17,18,44.85364846
713,60637,5/16/17,14,47.49934463
715,60637,5/16/17,12,61.46609884
717,60637,5/16/17,9,48.83314858
719,60637,5/16/17,11,47.58660294
720,60637,5/16/17,10,47.73425975
721,60637,5/16/17,18,44.85364846
723,60637,5/16/17,14,47.49934463
725,60637,5/16/17,12,61.46609884
727,60637,5/17/17,12,47.50024932
732,60637,5/17/17,13,47.71311883
737,60637,5/17/17,18,47.68754834
739,60637,5/17/17,10,49.29890278
745,60637,5/17/17,11,48.50564248
749,60637,5/17/17,12,47.50024932
754,60637,5/17/17,13,47.71311883
759,60637,5/17/17,18,47.68754834
761,60637,5/17/17,10,49.29890278
767,60637,5/17/17,11,48.50564248
773,60637,5/18/17,8,33.22551961
777,60637,5/18/17,7,48.17275184
778,60637,5/18/17,18,45.92514558
779,60637,5/18/17,10,45.05352259
780,60637,5/18/17,9,37.04341772
783,60608,5/18/17,7,49.79612109
789,60637,5/18/17,8,33.22551961
793,60637,5/18/17,7,48.17275184
794,60637,5/18/17,18,45.92514558
795,60637,5/18/17,10,45.05352259
796,60637,5/18/17,9,37.04341772
799,60608,5/18/17,7,49.79612109
803,60637,5/19/17,16,42.47574492
807,60637,5/19/17,16,42.47574492
811,60637,5/20/17,19,53.26837318
812,60608,5/20/17,19,55.24439356
822,60637,5/20/17,19,53.26837318
823,60608,5/20/17,19,55.24439356
846,60637,5/22/17,18,38.16342806
849,60637,5/22/17,10,39.01393548
855,60637,5/22/17,17,40.02266548
859,60637,5/22/17,13,39.05941103
861,60637,5/22/17,18,38.16342806
864,60637,5/22/17,10,39.01393548
870,60637,5/22/17,17,40.02266548
874,60637,5/22/17,13,39.05941103
878,60637,5/23/17,10,48.71546536
884,60637,5/23/17,10,48.71546536
887,60608,5/24/17,8,46.839341
889,60637,5/24/17,8,47.83050673
892,60637,5/24/17,20,44.2686897
893,60637,5/24/17,9,48.42166667
897,60637,5/24/17,10,48.18024091
901,60608,5/24/17,21,48.98063768
903,60637,5/24/17,18,45.34743884
907,60608,5/24/17,20,48.94412955
908,60608,5/24/17,8,46.839341
910,60637,5/24/17,8,47.83050673
913,60637,5/24/17,20,44.2686897
914,60637,5/24/17,9,48.42166667
918,60637,5/24/17,10,48.18024091
922,60608,5/24/17,21,48.98063768
924,60637,5/24/17,18,45.34743884
928,60608,5/24/17,20,48.94412955
929,60608,5/25/17,19,44.06650581
936,60637,5/25/17,18,43.89500583
938,60608,5/25/17,8,51.16025083
939,60637,5/25/17,17,66.10263685
940,60637,5/25/17,9,52.52669834
948,60608,5/25/17,19,44.06650581
955,60637,5/25/17,18,43.89500583
957,60608,5/25/17,8,51.16025083
958,60637,5/25/17,17,66.10263685
959,60637,5/25/17,9,52.52669834
968,60608,5/26/17,8,53.43372495
972,60608,5/26/17,8,53.43372495
978,60637,5/27/17,18,46.33122222
980,60608,5/27/17,19,44.652255700000005
984,60637,5/27/17,9,43.89887883
985,60637,5/27/17,10,41.39901408
1000,60637,5/27/17,18,46.33122222
1002,60608,5/27/17,19,44.652255700000005
1006,60637,5/27/17,9,43.89887883
1007,60637,5/27/17,10,41.39901408
1029,60610,5/30/17,18,38.00836585
1030,60610,5/30/17,17,36.64174879
1034,60608,5/30/17,8,40.47345887
