zips,Asthma,Asthma ED visits (0-18 years),Asthma ED visits (0-4 years),Asthma ED Visits (65+ years),Chronic lower respiratory disease deaths,Diagnosed heart disease,Hypertension,Lung cancer incidence,Screened or diagnosed with COPD
60601,9.9,91.1,87,6,23.9,,17.4,54.25,
60602,,91.1,87,6,,,,,
60603,,91.1,87,6,,,,,
60604,,91.1,87,6,,,,,
60605,14.3,91.1,87,6,32.3,,31.4,77.3,
60606,,162.9,158.6,41.5,17.1,,31.2,29.9,
60607,12.4,162.9,158.6,41.5,26.4,,23.8,72.9,
60608,6.45,86.4,101.8,40,24.85,8.4,28.85,60.6,12.2
60609,6.6,86.1,123.5,52.6,30.1,,30.6,83.66666667,
60610,5.3,227.4,184.9,28.1,11.9,,23.4,60.35,
60611,,91.1,,6,,,,,
60612,18.3,184.4,182.6,35,25.8,,28.1,80.2,
60613,6.5,68.2,95,18.2,17.4,,22.75,58.6,
60614,,46.3,32.8,31,,,,,
60615,10.5,201.7,120.1,40.1,18.9,,25.15,55.45,
60616,11.7,90.1,80.6,14.9,28.5,,24,79.1,
60617,17.8,178.7,204.1,31.4,32.86666667,,48.95,61.7,
60618,10.4,81,75.9,15.4,24,,28.9,52.15,
60619,12.3,221.2,247.1,39,34.1,,41.9,66.8,
60620,14.9,205.8,270.5,39.8,25.7,,27.55,74.4,
60621,15.9,229.8,273.7,100.8,43.2,,42,87.1,
60622,7.4,116,81.2,55.9,25.6,,22.6,44.8,
60623,9.5,97,99,56,27.2,13.3,34.9,76.6,24.6
60624,12.7,220.2,403.6,96.4,31.3,,33.5,100.9,
60625,5.6,64.7,63.1,15.9,23.9,,21.73333333,45.26666667,
60626,7.2,96.8,98.2,45.8,23.6,,27.1,66.2,
60628,10.1,207.4,216.9,42.7,38.825,,42.66666667,76.83333333,
60629,7.6,83.5,76.8,29.1,33.6,,20.33333333,55.9,
60630,16.6,84.3,103.4,15,22.4,,25.1,55.9,
60631,7.1,40.7,57.8,5.4,23.3,6.5,23.35,59.2,16.7
60632,12,53.1,63.1,20,23.8,3,18.3,40.03333333,
60633,,169.7,183,43.1,51.4,,22.85,84.1,
60634,7.4,70.4,90,11.1,25.3,,25.7,59,
60635,,91.5,77.5,21.6,,,,,
60636,14.5,211.4,307.6,48.7,37.7,12.35,39.9,83.8,24
60637,9.2,281.4,411.9,47.7,42,,40.45,102.05,
60638,,59.6,63.9,11.7,30.9,,43.5,66.2,
60639,10.45,108.9,126.3,59.7,14.6,6.3,23.25,47.3,15.2
60640,7.2,84.6,84.7,15.2,23.45,,27.15,56.45,
60641,8.5,102,109.6,26.5,24.3,,26.7,70,
60642,,116,81.2,55.9,,,,,
60643,8.8,135.8,174.5,31.8,24.86666667,,31.55,74.15,
60644,13.7,246,340.5,47.1,35.2,,35.8,85.2,
60645,9.7,76.3,89.7,23.5,11.3,,30.3,55.3,
60646,,37.9,81.1,7.6,,,,,
60647,13.3,93.7,104.2,61.1,26.4,6.2,23.25,42.95,31.3
60649,11.7,237.5,237.1,63.6,31.9,,39.1,70.8,
60651,,192.9,221.7,59.1,,,,,
60652,7.4,83.6,124.4,22.9,31.1,,31.3,81,
60653,19.6,225.8,259.9,35.5,34.2,,41.9,113.95,
60654,,227.4,184.9,28.1,,,,,
60655,13,24,20.4,3.2,43.1,,11.5,85.6,
60656,,47.7,62.8,8.9,,,,,
60657,,52.7,65.1,16.8,,,,,
60659,,71.1,66.2,29.2,,,,,
60660,,68.4,59.1,28.7,,,,,
60661,,162.9,158.6,,,,,,
60666,,,,,19.1,,,55.4,
60707,,91.5,77.5,21.6,37.5,,41,65.8,
60827,,169.7,183,43.1,,,,,
