Zip Code,Date,Hour,Average PM25
60601,1/1/15,22,63.09194816
60601,1/1/15,21,63.27283346
60661,1/1/15,22,60.57491091
60654,1/1/15,21,62.17062545
60605,1/1/15,21,63.72256319
60607,1/1/15,22,60.43588937
60606,1/1/15,22,63.05189002
60612,1/1/15,22,60.54540241
60612,1/1/15,23,59.13801459
60608,1/1/15,22,60.70156416
60601,1/1/15,22,63.09194816
60601,1/1/15,21,63.27283346
60661,1/1/15,22,60.57491091
60654,1/1/15,21,62.17062545
60605,1/1/15,21,63.72256319
60607,1/1/15,22,60.43588937
60606,1/1/15,22,63.05189002
60612,1/1/15,22,60.54540241
60612,1/1/15,23,59.13801459
60608,1/1/15,22,60.70156416
60623,1/1/16,16,54.0767287
60623,1/1/16,16,54.0767287
60623,1/2/16,14,48.33176289
60623,1/2/16,16,43.91097353
60623,1/2/16,15,47.9477278
60623,1/2/16,17,40.85492116
60623,1/2/16,14,48.33176289
60623,1/2/16,16,43.91097353
60623,1/2/16,15,47.9477278
60623,1/2/16,17,40.85492116
60623,1/3/16,14,53.85982803
60623,1/3/16,15,57.45283345
60623,1/3/16,14,53.85982803
60623,1/3/16,15,57.45283345
60623,1/8/16,16,60.31871975
60623,1/8/16,18,49.19131067
60623,1/8/16,17,51.57316592
60623,1/8/16,16,60.31871975
60623,1/8/16,18,49.19131067
60623,1/8/16,17,51.57316592
60601,3/14/17,13,52.18272781
60601,3/14/17,12,34.64176768
60601,3/14/17,13,52.18272781
60601,3/14/17,12,34.64176768
60611,3/23/17,16,34.71310345
60601,3/23/17,16,34.85520468
60611,3/23/17,17,33.64910448
60654,3/23/17,16,38.60240506
60611,3/23/17,18,33.15449956
60601,3/23/17,17,35.32519651
60611,3/23/17,16,34.71310345
60601,3/23/17,16,34.85520468
60611,3/23/17,17,33.64910448
60654,3/23/17,16,38.60240506
60611,3/23/17,18,33.15449956
60601,3/23/17,17,35.32519651
60657,4/3/17,18,42.95765452
60611,4/3/17,13,39.4333089
60657,4/3/17,21,41.83015432
60614,4/3/17,22,49.72474114
60613,4/3/17,18,44.99811111
60647,4/3/17,18,47.55196364
60614,4/3/17,20,44.98785016
0,4/3/17,22,34.2
